#,university,size,U.S. News,csrankings.org,placement rank,best paper awards,total
138,University of Arkansas+,17,132,135,121,,510
139,University of Oklahoma+,,120,120,151,,513
140,University of Cincinnati+,,110,135,148,,515
141,University of Windsor+,,19,185,,,518
142,State University of New York at Albany+,,120,151,126,,519
143,Southern Methodist University+,,132,164,102,,520
144,University of Massachusetts Lowell+,,120,114,167,,523
145,University of Louisiana at Lafayette+,,148,135,120,,525
146,University of Alabama+,,105,164,135,,526
147,Western University+,,11,,,,527
148,York University+,,13,,,,529
149,Naval Postgraduate School+,16,96,164,191,82,533
150,University of Massachusetts Boston+,,120,128,169,,539
150,Kent State University+,,148,135,134,,539
152,University of Tulsa+,11,176,164,84,,546
152,Mississippi State University+,,132,164,128,,546
154,Texas Tech University+,,148,135,144,,549
155,Ohio University+,,132,164,172,82,550
156,University of Hawaii at Manoa+,,120,135,,104,551
157,"University of Nevada, Reno+",11,176,135,119,,552
158,Utah State University+,,120,135,176,,553
159,University of New Hampshire+,,120,120,,,554
160,Old Dominion University+,,148,151,137,,558
161,Georgia State University+,,110,135,,,559
162,University of Rhode Island+,19,148,185,105,,560
163,Michigan Technological University+,,132,135,175,,564
164,University of Vermont+,,148,151,147,,568
165,"University of Colorado, Colorado Springs+",,132,135,183,,572
166,Florida Atlantic University+,,148,151,152,,573
166,University of Miami+,,132,164,155,,573
168,Indiana University - Purdue University Indianapolis+,,110,151,,,575
169,University of Memphis+,,163,120,190,105,578
170,University of Louisville+,,132,164,162,,580
171,Missouri University of Science and Technology+,,132,185,143,,582
172,West Virginia University+,,132,151,,120,595
173,Virginia Commonwealth University+,,148,135,,,597
174,Howard University+,,120,,157,,601
175,Oklahoma State University-Stillwater+,,148,185,149,,604
176,University of Nebraska Omaha+,,163,151,170,,606
177,Oregon Health & Science University+,,163,164,158,,607
178,University of Texas at El Paso+,,163,164,160,,609
179,University of Idaho+,,163,185,141,,611
180,Rutgers University-Newark+,,96,,,,612
181,Oakland University+,,198,164,129,,613
182,Western Michigan University+,,187,185,132,114,618
183,University of Alabama at Birmingham+,,132,185,182,,621
184,University of Colorado Denver+,,163,164,173,,622
185,University of Wisconsin-Milwaukee+,,148,164,,,626
185,Boise State University+,,148,164,,,626
185,"University of Nevada, Las Vegas+",,148,164,,,626
188,University of Michigan-Dearborn+,,176,151,180,,629
188,Clarkson University+,,187,,118,,629
190,University of Wyoming+,,163,164,181,,630
191,Air Force Institute of Technology+,,132,185,,,631
191,University of Maine+,1,148,,159,,631
193,Montana State University - Bozeman+,,163,164,187,,636
193,"Graduate Center, CUNY+",,120,,,,636
195,University of Missouri-Kansas City+,,163,164,188,,637
196,Wichita State University+,,176,151,,,641
197,Northern Arizona University+,,187,151,186,,646
